iter	Passed	Remaining
0	1	1665
1	2	1117
2	2	936
3	3	900
4	3	790
5	4	740
6	4	704
7	5	679
8	5	640
9	6	608
10	6	581
11	6	557
12	7	537
13	7	521
14	7	505
15	7	490
16	8	478
17	8	471
18	8	462
19	9	457
20	9	451
21	9	444
22	10	438
23	10	433
24	11	430
25	11	424
26	11	418
27	11	413
28	12	408
29	12	403
30	12	402
31	13	399
32	13	395
33	13	391
34	14	390
35	14	390
36	15	393
37	16	406
38	16	411
39	17	412
40	17	412
41	18	411
42	18	411
43	18	410
44	19	407
45	19	405
46	19	404
47	20	402
48	20	402
49	21	399
50	21	397
51	21	395
52	22	395
53	22	392
54	22	390
55	23	388
56	23	385
57	23	383
58	23	381
59	24	379
60	24	378
61	24	377
62	25	375
63	25	373
64	25	372
65	26	370
66	26	368
67	26	366
68	27	365
69	27	363
70	27	362
71	27	360
72	28	358
73	28	357
74	28	355
75	29	355
76	29	355
77	30	357
78	30	361
79	31	360
80	31	359
81	32	358
82	32	355
83	32	355
84	32	355
85	33	354
86	33	355
87	34	355
88	34	354
89	35	354
90	35	353
91	35	352
92	36	351
93	36	350
94	36	349
95	37	349
96	37	349
97	37	348
98	38	347
99	38	346
100	38	345
101	39	344
102	39	343
103	39	342
104	40	342
105	40	341
106	40	340
107	41	339
108	41	338
109	41	336
110	41	335
111	42	334
112	42	333
113	42	332
114	43	331
115	43	330
116	43	328
117	43	327
118	44	332
119	45	333
120	46	335
121	46	334
122	47	335
123	47	335
124	48	336
125	48	336
126	48	336
127	49	335
128	49	334
129	49	334
130	50	332
131	50	331
132	50	331
133	51	330
134	51	329
135	51	328
136	52	327
137	52	326
138	52	325
139	52	324
140	53	323
141	53	322
142	53	321
143	53	320
144	54	319
145	54	318
146	54	317
147	55	316
148	55	315
149	55	314
150	55	313
151	56	313
152	56	312
153	56	311
154	56	310
155	57	309
156	57	308
157	57	308
158	58	307
159	58	306
160	58	304
161	58	303
162	59	303
163	59	302
164	59	302
165	60	303
166	61	305
167	61	304
168	61	304
169	62	304
170	62	303
171	62	302
172	63	302
173	63	302
174	63	301
175	64	300
176	64	300
177	64	299
178	65	298
179	65	297
180	65	297
181	65	296
182	66	295
183	66	295
184	66	294
185	67	293
186	67	292
187	67	292
188	67	291
189	68	290
190	68	289
191	68	289
192	68	288
193	69	287
194	69	287
195	69	286
196	70	286
197	70	286
198	71	286
199	71	286
200	71	286
201	72	285
202	72	285
203	72	284
204	73	283
205	73	283
206	73	282
207	74	281
208	74	282
209	74	281
210	75	281
211	75	280
212	76	281
213	76	281
214	77	281
215	77	281
216	77	281
217	78	280
218	78	280
